"effect" "component" "term" "estimate" "std.error" "statistic" "p.value" "conf.low" "conf.high" "response" "df" "p_adjusted_BH" "significant_BH"
"120" "fixed" NA "energy_tot:northness" 0.0348521726967141 0.0309239003159676 1.12703030150172 0.25978413465005 -0.0256629613582348 0.095367306751663 "GRD_temperature_mean" 4965 0.448906984675286 FALSE
"121" "fixed" NA "energy_tot:eastness" 0.0236395764464144 0.0251639904559833 0.939420815937942 0.347560428307822 -0.0256039614075407 0.0728831143003694 "GRD_temperature_mean" 4965 0.560246660555892 FALSE
"122" "fixed" NA "energy_tot:ENL0D" -0.0464702548140225 0.0372768646730606 -1.24662455444129 0.212594003020908 -0.119417536359671 0.0264770267316259 "GRD_temperature_mean" 4965 0.392386010740578 FALSE
"123" "fixed" NA "energy_tot:SSCI" 0.0531955870426696 0.0299054659127328 1.77879144895785 0.075335129404589 -0.00532656767240921 0.111717741757748 "GRD_temperature_mean" 4965 0.187038941970014 FALSE
"124" "fixed" NA "energy_tot:Elevation" -0.113392039886301 0.031348824800647 -3.61710656164566 0.000300875442745146 -0.174738710774924 -0.0520453689976771 "GRD_temperature_mean" 4965 0.00171023935876188 TRUE
"125" "fixed" NA "energy_tot:Slope_30" -0.0856388619713283 0.0348284287623419 -2.4588781353216 0.0139710722220067 -0.153794787127641 -0.0174829368150157 "GRD_temperature_mean" 4965 0.0502958599992243 FALSE
"126" "fixed" NA "energy_tot:foliage_height_diversity" 0.0148773834105674 0.043251481764353 0.343973958895184 0.730880436491213 -0.06976165598297 0.0995164228041048 "GRD_temperature_mean" 4965 0.844225530920331 FALSE
"127" "fixed" "cond" "(Intercept)" -4.94452920555861 0.229588640348308 -21.5364714824623 7.09066344477383e-103 -5.39451467190081 -4.49454373921641 "GRD_vpd_kPA_mean" NA 9.57239565044467e-102 TRUE
"128" "fixed" "cond" "energy_tot" 0.45951287924906 0.0268963288599191 17.0845947654152 1.93281252754869e-65 0.406797043367274 0.512228715130847 "GRD_vpd_kPA_mean" NA 1.9880357426215e-64 TRUE
"129" "fixed" "cond" "canopy_openess" 0.45978356046164 0.23989689040387 1.91658824625691 0.0552902624053926 -0.0104057047330987 0.929972825656378 "GRD_vpd_kPA_mean" NA 0.14322483848865 FALSE
"130" "fixed" "cond" "northness" 0.233984202627454 0.302825052411056 0.772671219783504 0.439716983467218 -0.35954199371467 0.827510398969579 "GRD_vpd_kPA_mean" NA 0.628999128668338 FALSE
"131" "fixed" "cond" "eastness" 0.107126225531626 0.258932625667692 0.413722393056442 0.679077425460342 -0.400372395199443 0.614624846262694 "GRD_vpd_kPA_mean" NA 0.822296766050617 FALSE
"132" "fixed" "cond" "ENL0D" -0.688319524765481 0.371549298159864 -1.85256580533042 0.0639446174243221 -1.41654276763995 0.0399037181089862 "GRD_vpd_kPA_mean" NA 0.162494557219454 FALSE
"133" "fixed" "cond" "SSCI" 0.172422085324436 0.297684733168746 0.579210372964262 0.562447232495999 -0.411029270433722 0.755873441082595 "GRD_vpd_kPA_mean" NA 0.749929643327998 FALSE
"134" "fixed" "cond" "Elevation" -1.43587679441612 0.316823141109458 -4.53210832197401 5.83978888394848e-06 -2.05683874045951 -0.814914848372733 "GRD_vpd_kPA_mean" NA 4.06901419010604e-05 TRUE
"135" "fixed" "cond" "Slope_30" -0.0918004378873328 0.343307110074343 -0.267400339793293 0.789160937844222 -0.764670009269574 0.581069133494908 "GRD_vpd_kPA_mean" NA 0.892454254315979 FALSE
